ID,Sex
sampleA10.TX76F,0
sampleA11.TX84M,1
sampleA12.TX93F,0
sampleA1.TX1F,0
sampleA2.TX9F,0
sampleA3.TX17F,0
sampleA4.TX25M,1
sampleA5.TX33M,1
sampleA6.TX42M,1
sampleA7.TX51F,0
sampleA8.TX59F,0
sampleA9.TX68M,1
sampleB10.TX77M,1
sampleB11.TX86F,0
sampleB12.TX94M,1
sampleB1.TX2M,1
sampleB2.TX10F,0
sampleB3.TX18M,1
sampleB4.TX26M,1
sampleB5.TX34M,1
sampleB6.TX43M,1
sampleB7.TX52F,0
sampleB8.TX61M,1
sampleB9.TX69F,0
sampleC10.TX78M,1
sampleC11.TX87F,0
sampleC12.TX95F,0
sampleC1.TX3M,1
sampleC2.TX11F,0
sampleC3.TX19M,1
sampleC4.TX27M,1
sampleC5.TX35F,0
sampleC6.TX44M,1
sampleC7.TX53F,0
sampleC8.TX62F,0
sampleC9.TX70M,1
sampleD10.TX79F,0
sampleD11.TX88M,1
sampleD12.TX96F,0
sampleD1.TX4M,1
sampleD2.TX12F,0
sampleD3.TX20F,0
sampleD4.TX28M,1
sampleD5.TX36M,1
sampleD6.TX45M,1
sampleD7.TX54M,1
sampleD8.TX63F,0
sampleD9.TX71M,1
sampleE10.TX80M,1
sampleE11.TX89F,0
sampleE12.TX97M,1
sampleE1.TX5F,0
sampleE2.TX13M,1
sampleE3.TX21M,1
sampleE4.TX29M,1
sampleE5.TX37M,1
sampleE6.TX46M,1
sampleE7.TX55F,0
sampleE8.TX64F,0
sampleE9.TX72M,1
sampleF10.TX81F,0
sampleF11.TX90M,1
sampleF12.TX98F,0
sampleF1.TX6F,0
sampleF2.TX14F,0
sampleF3.TX22F,0
sampleF4.TX30F,0
sampleF5.TX38M,1
sampleF6.TX47M,1
sampleF7.TX56M,1
sampleF8.TX65M,1
sampleF9.TX73F,0
sampleG10.TX82F,0
sampleG11.TX91F,0
sampleG12.TX99M,1
sampleG1.TX7M,1
sampleG2.TX15F,0
sampleG3.TX23F,0
sampleG4.TX31M,1
sampleG5.TX39F,0
sampleG6.TX49M,1
sampleG7.TX57F,0
sampleG8.TX66F,0
sampleG9.TX74M,1
sampleH11.TX92M,1
sampleH12.TX100M,1
sampleH1.TX8F,0
sampleH2.TX16F,0
sampleH3.TX24M,1
sampleH4.TX32M,1
sampleH5.TX40M,1
sampleH6.TX50M,1
sampleH7.TX58M,1
sampleH8.TX67M,1
